MemberID,Age,Gender,Postcode,Sector,JobGrade,AnnualSalary,YearsService,Status
MB00000001,25,M,EC1A XXX,Finance,Analyst,35000,4,Active
MB00000002,30,F,SW1A XXX,Public Service,Senior Officer,42000,9,Active
MB00000003,34,M,W1A XXX,Healthcare,Band 6,47000,3,Active
MB00000004,37,F,E1 XXX,Education,Senior Teacher,33000,12,Active
MB00000005,42,O,N1 XXX,Retail,Store Manager,26000,20,Deferred
MB00000006,48,M,M1 XXX,Finance,Senior Manager,68000,27,Active
MB00000007,53,F,M2 XXX,Manufacturing,Production Manager,35000,32,Pensioner
MB00000008,60,M,M3 XXX,Other,Consultant,90000,39,Pensioner
MB00000009,68,F,B1 XXX,Public Service,Principal Officer,37000,30,Pensioner
MB00000010,24,M,B2 XXX,Education,Teacher,29000,2,Active
MB00000011,29,F,B3 XXX,Retail,Sales Assistant,22000,8,Active
MB00000012,32,O,G1 XXX,Finance,Manager,55000,5,Active
MB00000013,36,M,G2 XXX,Healthcare,Band 5,32000,15,Active
MB00000014,43,F,EH1 XXX,Other,Associate,50000,22,Active
MB00000015,49,O,EH2 XXX,Manufacturing,Supervisor,38000,28,Pensioner
MB00000016,54,M,CF10 XXX,Public Service,Grade 7,45000,33,Deferred
MB00000017,61,F,CF11 XXX,Education,Deputy Head,65000,40,Pensioner
MB00000018,72,M,L1 XXX,Retail,Area Manager,33000,50,Pensioner
MB00000019,26,F,L2 XXX,Finance,Associate,34000,5,Active
MB00000020,31,O,LS1 XXX,Healthcare,Band 7,37000,10,Active
MB00000021,35,M,LS2 XXX,Public Service,Senior Officer,45000,14,Active
MB00000022,39,F,BS1 XXX,Manufacturing,Senior Technician,36000,18,Deferred
MB00000023,44,O,BS2 XXX,Education,Head of Department,48000,23,Active
MB00000024,50,M,EC1A XXX,Retail,Supervisor,32000,29,Active
MB00000025,55,F,SW1A XXX,Other,Manager,56000,34,Pensioner
MB00000026,63,O,W1A XXX,Finance,Director,115000,42,Pensioner
MB00000027,70,M,E1 XXX,Public Service,Grade 6,67000,50,Pensioner
MB00000028,23,F,N1 XXX,Healthcare,Senior Practitioner,82000,2,Active
MB00000029,28,O,M1 XXX,Education,Teacher,24000,7,Active
MB00000030,33,M,M2 XXX,Retail,Store Manager,28000,12,Deferred
MB00000031,38,F,M3 XXX,Finance,Senior Analyst,42000,17,Active
MB00000032,45,O,B1 XXX,Public Service,Grade 7,38000,24,Active
MB00000033,51,M,B2 XXX,Manufacturing,Technician,18000,30,Deferred
MB00000034,56,F,B3 XXX,Healthcare,Band 6,46000,35,Pensioner
MB00000035,64,O,G1 XXX,Education,Senior Teacher,54000,43,Pensioner
MB00000036,71,M,G2 XXX,Retail,Area Manager,55000,50,Pensioner
MB00000037,26,F,EH1 XXX,Other,Consultant,48000,5,Active
MB00000038,31,O,EH2 XXX,Finance,Analyst,25000,10,Active
MB00000039,35,M,CF10 XXX,Public Service,Principal Officer,59000,14,Deferred
MB00000040,40,F,CF11 XXX,Manufacturing,Production Manager,52000,19,Active
MB00000041,47,O,L1 XXX,Healthcare,Band 5,26000,26,Active
MB00000042,52,M,L2 XXX,Education,Head of Department,43000,31,Pensioner
MB00000043,57,F,LS1 XXX,Retail,Sales Assistant,18000,36,Deferred
MB00000044,65,O,LS2 XXX,Other,Senior Consultant,75000,45,Pensioner
MB00000045,74,M,BS1 XXX,Finance,Director,120000,53,Pensioner
MB00000046,22,F,BS2 XXX,Public Service,Grade 6,34000,1,Active
MB00000047,24,O,EC1A XXX,Healthcare,Band 7,40000,3,Active
MB00000048,30,M,SW1A XXX,Education,Teacher,27000,9,Active
MB00000049,34,F,W1A XXX,Retail,Area Manager,37000,13,Active
MB00000050,39,O,E1 XXX,Finance,Senior Manager,72000,18,Deferred
MB00000051,46,M,N1 XXX,Public Service,Grade 6,41000,25,Active
MB00000052,51,F,M1 XXX,Manufacturing,Senior Technician,31000,30,Pensioner
MB00000053,55,O,M2 XXX,Healthcare,Senior Practitioner,53000,34,Pensioner
MB00000054,62,M,M3 XXX,Education,Deputy Head,61000,41,Deferred
MB00000055,69,F,B1 XXX,Retail,Area Manager,45000,48,Pensioner
MB00000056,24,O,B2 XXX,Other,Manager,44000,3,Active
MB00000057,29,M,B3 XXX,Finance,Associate,39000,8,Active
MB00000058,32,F,G1 XXX,Public Service,Grade 7,35000,11,Deferred
MB00000059,37,O,G2 XXX,Manufacturing,Production Manager,64000,16,Active
MB00000060,42,M,EH1 XXX,Healthcare,Band 5,23000,21,Active
MB00000061,49,F,EH2 XXX,Education,Senior Teacher,44000,28,Deferred
MB00000062,53,O,CF10 XXX,Retail,Store Manager,30000,32,Pensioner
MB00000063,60,M,CF11 XXX,Other,Consultant,67000,39,Pensioner
MB00000064,68,F,L1 XXX,Finance,Manager,55000,47,Pensioner
MB00000065,77,O,L2 XXX,Public Service,Grade 6,57000,55,Pensioner
MB00000066,23,M,LS1 XXX,Healthcare,Band 6,48000,2,Active
MB00000067,27,F,LS2 XXX,Education,Deputy Head,54000,6,Active
MB00000068,33,O,BS1 XXX,Retail,Supervisor,25000,12,Active
MB00000069,38,M,BS2 XXX,Finance,Senior Analyst,44500,17,Deferred
MB00000070,43,F,EC1A XXX,Public Service,Grade 7,40000,21,Active
MB00000071,50,O,SW1A XXX,Manufacturing,Senior Technician,34000,28,Pensioner
MB00000072,54,M,W1A XXX,Healthcare,Band 7,39000,32,Pensioner
MB00000073,58,F,E1 XXX,Education,Head of Department,48000,36,Pensioner
MB00000074,67,O,N1 XXX,Retail,Sales Assistant,22000,45,Pensioner
MB00000075,75,M,M1 XXX,Other,Senior Consultant,85000,53,Pensioner
MB00000076,24,F,M2 XXX,Finance,Associate,38000,3,Active
MB00000077,29,O,M3 XXX,Public Service,Principal Officer,57000,8,Active
MB00000078,34,M,B1 XXX,Manufacturing,Production Manager,42000,13,Deferred
MB00000079,39,F,B2 XXX,Healthcare,Band 6,47000,18,Active
MB00000080,46,O,B3 XXX,Education,Teacher,31000,25,Active
MB00000081,52,M,G1 XXX,Retail,Area Manager,46000,31,Pensioner
MB00000082,56,F,G2 XXX,Other,Consultant,53000,35,Pensioner
MB00000083,63,O,EH1 XXX,Finance,Director,107000,42,Pensioner
MB00000084,70,M,EH2 XXX,Public Service,Grade 6,58000,49,Pensioner
MB00000085,23,F,CF10 XXX,Healthcare,Band 5,24000,2,Active
MB00000086,27,O,CF11 XXX,Education,Senior Teacher,42000,6,Active
MB00000087,31,M,L1 XXX,Retail,Store Manager,31000,10,Deferred
MB00000088,36,F,L2 XXX,Finance,Senior Manager,69000,15,Active
MB00000089,40,O,LS1 XXX,Public Service,Senior Officer,47000,19,Active
MB00000090,48,M,LS2 XXX,Manufacturing,Technician,28000,27,Pensioner
MB00000091,54,F,BS1 XXX,Healthcare,Band 6,41000,33,Pensioner
MB00000092,62,O,BS2 XXX,Education,Head of Department,53000,41,Pensioner
MB00000093,68,M,EC1A XXX,Retail,Sales Assistant,20000,47,Pensioner
MB00000094,76,F,SW1A XXX,Other,Manager,75000,55,Pensioner
MB00000095,22,O,W1A XXX,Finance,Analyst,29000,1,Active
MB00000096,25,M,E1 XXX,Public Service,Grade 6,43000,4,Active
MB00000097,30,F,N1 XXX,Healthcare,Band 6,45000,9,Active
MB00000098,34,O,M1 XXX,Education,Teacher,28000,13,Active
MB00000099,38,M,M2 XXX,Retail,Store Manager,37000,17,Deferred
MB00000100,41,F,M3 XXX,Finance,Manager,62000,20,Active
MB00000101,47,O,B1 XXX,Public Service,Principal Officer,63000,26,Deferred
MB00000102,51,M,B2 XXX,Manufacturing,Senior Technician,34000,30,Pensioner
MB00000103,55,F,B3 XXX,Healthcare,Senior Practitioner,55000,34,Pensioner
