MemberID,Age,Gender,Postcode,Sector,JobGrade,AnnualSalary,YearsService,Status
MB00000001,34,F,EC1A 1BB,Finance,Senior Analyst,46000.0,13,Active
MB00000002,29,M,W1A 1AA,Manufacturing,Technician,32000.0,8,Active
MB00000003,41,F,G1 1XW,Public Service,Senior Officer,39000.0,14,Active
MB00000004,52,M,LS1 1UR,Other,Manager,68000.0,25,Active
MB00000005,27,O,N1 9GU,Retail,Supervisor,29000.0,6,Active
MB00000006,36,F,M1 1AA,Healthcare,Band 6,37000.0,15,Active
MB00000007,59,M,G2 8DL,Public Service,Principal Officer,46000.0,38,Pensioner
MB00000008,50,F,E1 6AN,Education,Head of Department,44000.0,22,Deferred
MB00000009,23,M,B2 4QA,Retail,Sales Assistant,23000.0,2,Active
MB00000010,48,F,SW1A 1AA,Other,Consultant,52000.0,26,Deferred
MB00000011,40,F,CF10 1DD,Finance,Analyst,42000.0,15,Active
MB00000012,44,M,M3 3EB,Education,Teacher,35000.0,19,Active
MB00000013,33,F,B1 1HQ,Healthcare,Band 5,34000.0,11,Active
MB00000014,63,M,BS1 4TR,Public Service,Grade 6,45000.0,40,Pensioner
MB00000015,37,F,M2 5BQ,Other,Senior Consultant,50000.0,16,Deferred
MB00000016,55,F,L2 2PP,Manufacturing,Production Manager,60000.0,30,Pensioner
MB00000017,45,F,EH1 1BB,Retail,Store Manager,30000.0,24,Active
MB00000018,35,M,CF11 9LJ,Finance,Manager,51000.0,14,Active
MB00000019,39,F,B3 3DH,Healthcare,Band 7,56000.0,19,Active
MB00000020,54,F,SW1A 1AA,Manufacturing,Supervisor,38000.0,31,Pensioner
MB00000021,24,M,L1 8JQ,Retail,Sales Assistant,24000.0,3,Active
MB00000022,29,F,LS2 8JS,Finance,Associate,47000.0,7,Active
MB00000023,53,M,E1 6AN,Public Service,Grade 7,40000.0,32,Pensioner
MB00000024,65,F,BS1 4TR,Finance,Director,90000.0,44,Pensioner
MB00000025,22,F,N1 9GU,Other,Associate,20000.0,1,Active
MB00000026,48,M,EH2 2ER,Healthcare,Senior Practitioner,80000.0,27,Deferred
MB00000027,57,F,G1 1XW,Education,Deputy Head,52000.0,36,Pensioner
MB00000028,35,F,S1 1AA,Retail,Area Manager,35000.0,14,Active
MB00000029,42,M,LS1 1UR,Other,Manager,55000.0,21,Active
MB00000030,41,F,CF11 9LJ,Public Service,Principal Officer,43000.0,20,Active
MB00000031,31,M,G2 8DL,Finance,Senior Analyst,50000.0,10,Active
MB00000032,26,F,B1 1HQ,Healthcare,Band 5,22000.0,5,Active
MB00000033,49,F,M2 5BQ,Public Service,Senior Officer,48000.0,28,Deferred
MB00000034,45,M,BS2 0FZ,Manufacturing,Technician,33000.0,24,Active
MB00000035,30,F,L1 8JQ,Finance,Associate,55000.0,9,Active
MB00000036,25,M,E1 6AN,Other,Consultant,42000.0,4,Active
MB00000037,54,F,SW1A 1AA,Education,Head of Department,60000.0,33,Pensioner
